         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      172    0.000    0.000    0.000    0.000 __init__.py:28(set_function_name)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
       85    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      141    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 offsets.py:2546(Tick)
        1    0.000    0.000    0.009    0.009 defchararray.py:17(<module>)
        1    0.000    0.000    0.023    0.023 multiarray.py:7(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.009    0.009 fromnumeric.py:3(<module>)
      726    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      120    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        6    0.000    0.000    0.000    0.000 numeric.py:2400(extend_all)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       53    0.000    0.000    0.009    0.000 sre_compile.py:598(_code)
       58    0.000    0.000    0.001    0.000 strings.py:1941(_forbid_nonstring_types)
        1    0.000    0.000    0.025    0.025 algorithms.py:4(<module>)
      238    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       77    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.077    0.039 generic.py:1(<module>)
        2    0.000    0.000    0.019    0.010 base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numerictypes.py:81(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:760(__getitem_inner__)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.002    0.002 config_init.py:11(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.003    0.003 nanops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
      273    0.000    0.000    0.000    0.000 function_base.py:434(_add_docstring)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
       10    0.000    0.000    0.001    0.000 accessor.py:63(_add_delegate_accessors)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      260    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.003    0.003 typing.py:19(<module>)
       13    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
      156    0.000    0.000    0.000    0.000 _decorators.py:323(__init__)
       44    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 interval.py:154(IntervalIndex)
       19    0.000    0.000    0.000    0.000 _decorators.py:289(__call__)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
        4    0.000    0.000    0.001    0.000 base.py:1088(_add_arithmetic_ops)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        2    0.000    0.000    0.002    0.001 period.py:1(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:61(BlockManager)
       50    0.000    0.000    0.000    0.000 _internal.py:819(_ufunc_doc_signature_formatter)
       33    0.000    0.000    0.002    0.000 abc.py:125(__new__)
    31/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       59    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.002    0.002 multi.py:146(MultiIndex)
        1    0.000    0.000    0.012    0.012 shutil.py:5(<module>)
      176    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.010    0.010 socket.py:47(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
        1    0.000    0.000    0.009    0.009 linalg.py:10(<module>)
       66    0.000    0.000    0.000    0.000 accessor.py:83(_create_delegator_property)
      186    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        5    0.000    0.000    0.799    0.160 __init__.py:3(<module>)
       23    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       37    0.000    0.000    0.002    0.000 typing.py:744(__getitem__)
        1    0.000    0.000    0.020    0.020 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        2    0.000    0.000    0.001    0.000 timedeltas.py:1(<module>)
        3    0.000    0.000    0.006    0.002 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        3    0.000    0.000    0.012    0.004 __init__.py:5(<module>)
       21    0.000    0.000    0.000    0.000 dtypes.py:75(find)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:120(IntervalArray)
       15    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        1    0.000    0.000    0.007    0.007 tz.py:9(<module>)
       55    0.000    0.000    0.000    0.000 extension.py:24(inherit_from_data)
      125    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.014    0.014 blocks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:247(parserinfo)
        1    0.000    0.000    0.000    0.000 accessor.py:49(PandasDelegate)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.008    0.008 __init__.py:41(<module>)
        1    0.000    0.000    0.003    0.003 offsets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 utils.py:1921(clear_and_catch_warnings)
       21    0.000    0.000    0.000    0.000 common.py:1844(pandas_dtype)
      518    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.007    0.007 random.py:38(<module>)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        6    0.000    0.000    0.000    0.000 boolean.py:633(_create_comparison_method)
        1    0.000    0.000    0.009    0.009 categorical.py:1(<module>)
        6    0.000    0.000    0.001    0.000 base.py:1107(_add_comparison_ops)
      271    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
      307    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        1    0.000    0.000    0.000    0.000 docstrings.py:3(<module>)
       65    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
