Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.001    0.000    0.012    0.001 gettext.py:474(find)
  107/101    0.001    0.000    0.004    0.000 typing.py:180(_subs_tvars)
2429/1840    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       64    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
      652    0.001    0.000    0.017    0.000 re.py:185(sub)
       24    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
     2376    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      410    0.001    0.000    0.006    0.000 pyparsing.py:1415(copy)
      273    0.001    0.000    0.004    0.000 function_base.py:441(add_newdoc)
        1    0.001    0.001    0.537    0.537 pyplot.py:19(<module>)
      382    0.001    0.000    0.003    0.000 ntpath.py:67(isabs)
      449    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
       36    0.001    0.000    0.015    0.000 __init__.py:1496(_add_data_doc)
     3162    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      487    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     1522    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       68    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      501    0.001    0.000    0.032    0.000 re.py:180(search)
      588    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      268    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
     2208    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       58    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     1040    0.001    0.000    0.001    0.000 typing.py:322(__hash__)
      618    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      502    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      191    0.001    0.000    0.027    0.000 sre_compile.py:598(_code)
      130    0.001    0.000    0.002    0.000 pyplot.py:1780(<genexpr>)
  225/183    0.001    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
       54    0.001    0.000    0.001    0.000 config.py:413(register_option)
       71    0.001    0.000    0.096    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
      128    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      588    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
       42    0.001    0.000    0.002    0.000 gettext.py:211(_expand_lang)
      101    0.001    0.000    0.006    0.000 typing.py:621(__getitem__)
        1    0.001    0.001    0.001    0.001 patches.py:2323(Sawtooth)
       31    0.001    0.000    0.010    0.000 _collections_abc.py:824(update)
      194    0.001    0.000    0.001    0.000 sre_parse.py:224(__init__)
      644    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     2861    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
       82    0.001    0.000    0.002    0.000 inspect.py:535(_finddoc)
      491    0.001    0.000    0.008    0.000 colors.py:120(is_color_like)
      594    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
