         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000    0.000    0.000 posixpath.py:75(join)
      213    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      306    0.000    0.000    0.000    0.000 rcsetup.py:123(validate_bool)
      164    0.000    0.000    0.000    0.000 colors.py:506(__init__)
      130    0.000    0.000    0.000    0.000 pyplot.py:1702(<genexpr>)
      672    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      426    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
     1801    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
        1    0.000    0.000    0.007    0.007 inspect.py:935(getblock)
       38    0.000    0.000    0.000    0.000 colors.py:879(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
     1728    0.000    0.000    0.000    0.000 {built-in method builtins.id}
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3968(copy)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
     1136    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       63    0.000    0.000    0.001    0.000 colors.py:843(<dictcomp>)
      144    0.000    0.000    0.004    0.000 rcsetup.py:72(f)
      273    0.000    0.000    0.000    0.000 function_base.py:428(_needs_add_docstring)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      577    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       10    0.000    0.000    0.003    0.000 pyparsing.py:3140(__init__)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
       16    0.000    0.000    0.004    0.000 enum.py:389(_create_)
        1    0.000    0.000    0.047    0.047 __init__.py:101(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      363    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.000    0.000 function.py:90(__init__)
     1307    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.082    0.082 __init__.py:106(<module>)
    49/18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       33    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
       91    0.000    0.000    0.000    0.000 inspect.py:525(_findclass)
      432    0.000    0.000    0.000    0.000 colors.py:225(<genexpr>)
       20    0.000    0.000    0.000    0.000 frontend.py:432(build_Attribute)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      340    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      105    0.000    0.000    0.001    0.000 deprecation.py:226(finalize)
        1    0.000    0.000    0.029    0.029 rcsetup.py:15(<module>)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3928(streamline)
        7    0.000    0.000    0.001    0.000 _builtins.py:105(_get_builtin_table)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
      612    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
     56/9    0.000    0.000    0.003    0.000 pyparsing.py:3897(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
      125    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
